,trial_id,start_time,end_time,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,move_onset_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target,split
75,75,0 days 00:03:39.900000,0 days 00:03:42.756000,7,2,8,True,0 days 00:03:40.573000,0 days 00:03:41.305000,0 days 00:03:41.596000,291,732,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
76,76,0 days 00:03:42.800000,0 days 00:03:45.146000,2,0,2,True,0 days 00:03:43.592000,0 days 00:03:43.857000,0 days 00:03:44.132000,275,265,1,[[104  80]],0,[],0,train
77,77,0 days 00:03:45.200000,0 days 00:03:47.766000,12,2,77,True,0 days 00:03:45.993000,0 days 00:03:46.225000,0 days 00:03:46.587000,362,232,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,train
78,78,0 days 00:03:47.800000,0 days 00:03:51.121000,11,2,76,True,0 days 00:03:48.642000,0 days 00:03:49.524000,0 days 00:03:49.864000,340,882,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,train
79,79,0 days 00:03:51.200000,0 days 00:03:54.091000,4,1,4,True,0 days 00:03:51.964000,0 days 00:03:52.529000,0 days 00:03:52.860000,331,565,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
80,80,0 days 00:03:54.200000,0 days 00:03:57.406000,12,2,77,True,0 days 00:03:54.936000,0 days 00:03:55.917000,0 days 00:03:56.200000,283,981,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,train
81,81,0 days 00:03:57.500000,0 days 00:04:00.411000,2,2,2,True,0 days 00:03:58.174000,0 days 00:03:59.072000,0 days 00:03:59.313000,241,898,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,val
82,82,0 days 00:04:00.500000,0 days 00:04:03.361000,7,0,8,True,0 days 00:04:01.169000,0 days 00:04:02.017000,0 days 00:04:02.297000,280,848,1,[[-92  81]],0,[],0,train
83,83,0 days 00:04:03.400000,0 days 00:04:05.451000,2,0,2,True,0 days 00:04:04.153000,0 days 00:04:04.167000,0 days 00:04:04.443000,276,14,1,[[104  80]],0,[],0,val
84,84,0 days 00:04:05.500000,0 days 00:04:08.596000,7,1,8,True,0 days 00:04:06.294000,0 days 00:04:07.109000,0 days 00:04:07.439000,330,815,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
85,85,0 days 00:04:08.700000,0 days 00:04:10.751000,10,0,75,True,0 days 00:04:09.384000,0 days 00:04:09.415000,0 days 00:04:09.731000,316,31,1,[[133 -81]],0,[],0,train
86,86,0 days 00:04:10.800000,0 days 00:04:13.901000,4,2,4,True,0 days 00:04:11.709000,0 days 00:04:11.907000,0 days 00:04:12.656000,749,198,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,val
87,87,0 days 00:04:14,0 days 00:04:17.216000,12,1,77,True,0 days 00:04:14.709000,0 days 00:04:15.707000,0 days 00:04:16.018000,311,998,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
88,88,0 days 00:04:17.300000,0 days 00:04:20.241000,11,2,76,True,0 days 00:04:18.110000,0 days 00:04:18.491000,0 days 00:04:19.097000,606,381,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,train
89,89,0 days 00:04:20.300000,0 days 00:04:23.546000,12,2,77,True,0 days 00:04:20.979000,0 days 00:04:21.627000,0 days 00:04:21.948000,321,648,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,train
90,90,0 days 00:04:23.600000,0 days 00:04:26.671000,12,0,77,True,0 days 00:04:24.523000,0 days 00:04:25.354000,0 days 00:04:25.642000,288,831,1,[[-77  82]],0,[],0,train
91,91,0 days 00:04:26.700000,0 days 00:04:29.356000,8,1,10,True,0 days 00:04:27.521000,0 days 00:04:27.886000,0 days 00:04:28.246000,360,365,1,[[-91 -70]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
92,92,0 days 00:04:29.400000,0 days 00:04:32.536000,6,1,7,True,0 days 00:04:30.342000,0 days 00:04:30.973000,0 days 00:04:31.369000,396,631,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,train
93,93,0 days 00:04:32.600000,0 days 00:04:35.716000,8,1,10,True,0 days 00:04:33.552000,0 days 00:04:34.217000,0 days 00:04:34.530000,313,665,1,[[-91 -70]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
94,94,0 days 00:04:35.800000,0 days 00:04:38.566000,2,2,2,True,0 days 00:04:36.582000,0 days 00:04:37.097000,0 days 00:04:37.430000,333,515,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,train
95,95,0 days 00:04:38.600000,0 days 00:04:42.021000,11,2,76,True,0 days 00:04:39.552000,0 days 00:04:40.500000,0 days 00:04:40.837000,337,948,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,val
96,96,0 days 00:04:42.100000,0 days 00:04:44.466000,4,0,4,True,0 days 00:04:42.963000,0 days 00:04:43.161000,0 days 00:04:43.427000,266,198,1,[[-100   35]],0,[],0,train
97,97,0 days 00:04:44.500000,0 days 00:04:47.376000,3,2,3,True,0 days 00:04:45.410000,0 days 00:04:45.892000,0 days 00:04:46.242000,350,482,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,val
98,98,0 days 00:04:47.400000,0 days 00:04:50.736000,3,1,3,True,0 days 00:04:48.323000,0 days 00:04:49.238000,0 days 00:04:49.545000,307,915,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,val
99,99,0 days 00:04:50.800000,0 days 00:04:53.666000,11,0,76,True,0 days 00:04:51.612000,0 days 00:04:52.361000,0 days 00:04:52.660000,299,749,1,[[-118  -83]],0,[],0,train
